"SNP","score_CAR","score_MAR","score_PAR","score_I_Score","score_ValorP_Bruto","score_ValorP_Ajustado","score_RF_Permutation","score_RF_Impureza","rank_Marginal","rank_Parcial","rank_CAR","rank_IScore","rank_Permutation","rank_Impureza","causal"
"SNP1",0.221697082414697,0.224063915792389,0.258605642066928,103.174324836197,5.60708709636402e-57,5.60708709636402e-55,256.758490412795,800.981093692407,1,1,1,1,1,1,TRUE
"SNP2",0.0175822846520834,0.0179207232711569,0.0264922659387739,38.5586992079127,2.16533321793577e-05,0.00216533321793577,93.318397683872,231.740970170074,4,3,3,2,4,4,TRUE
"SNP3",0.00331772135472677,0.00559310068840341,0.00284067212919981,1.0091305008126,0.0180140665035219,1.80140665035219,9.90283901537372,26.5110713189882,9,15,8,28,7,7,TRUE
"SNP4",0.0619335478777447,0.0644995407117942,0.0861465567517898,28.2803566850616,3.4862643420352e-16,3.4862643420352e-14,134.259293447756,260.255824101154,2,2,2,3,2,3,TRUE
"SNP5",0.00861811228808799,0.00840888977420917,0.0128467395475626,26.5213741112229,0.00370435326202538,0.370435326202538,123.064341099004,271.661142969953,5,5,5,4,3,2,TRUE
"SNP6",0.000271283805518304,2.55864449279406e-05,0.00116154723076384,0.030049827402377,0.8730712417347,87.30712417347,9.17302256154015,15.2697701312325,90,40,66,95,8,71,TRUE
"SNP7",0.00215829662206461,0.00157369283542023,0.00448939856843241,4.07292212946923,0.210062522133593,21.0062522133593,26.9892197341203,48.7292170488312,25,9,15,6,6,6,TRUE
"SNP8",0.0166562695113496,0.0192117324945913,0.0227206455977366,5.78594802212751,1.08807993574028e-05,0.00108807993574028,56.6984785280169,117.279370740237,3,4,4,5,5,5,TRUE
"SNP9",0.000275761202030681,0.000165537216360212,0.00052942095491819,0.296231269379382,0.68447031902123,68.447031902123,1.82309668418486,16.0296563185736,80,56,65,65,28,57,FALSE
"SNP10",0.00518837088867938,0.0081197524986927,0.00469729667557111,2.45516926204444,0.0043478304919316,0.43478304919316,6.72855674520678,25.1960642546701,6,8,6,8,9,8,FALSE
"SNP11",0.00263977242486478,0.00505492992326019,0.00170354149445597,1.2004707015168,0.0245538253793051,2.45538253793051,3.74056260866798,21.7528836696225,10,30,11,20,17,16,FALSE
"SNP12",0.00132739952516021,0.00231207303109633,0.00110640839652811,0.410178325397643,0.128629786759441,12.8629786759441,2.23149818160121,22.8661631111145,23,43,27,52,24,11,FALSE
"SNP13",1.76445475477729e-05,0.000184107174396921,4.65105724637688e-05,0.59491521229512,0.66824332043723,66.824332043723,-3.02041421439781,17.6448169374415,77,87,92,41,89,39,FALSE
"SNP14",0.000364788046819898,0.00062705573122212,0.00027998693817955,0.221644079642804,0.428942745882843,42.8942745882843,-3.46396263749312,17.4427051554417,52,67,58,71,90,40,FALSE
"SNP15",0.00315388706842302,0.00572506400270941,0.00219658912120419,2.02540927117264,0.0167044447036972,1.67044447036972,1.44028117795506,14.2736788942396,8,22,9,12,33,81,FALSE
"SNP16",0.00108395614379823,0.00124908081753183,0.00154093906370689,0.447863075314086,0.264176582657124,26.4176582657124,1.28995977982773,19.5863580471474,32,32,31,50,37,22,FALSE
"SNP17",0.00234801063771517,0.00421177491221728,0.00147012458371024,2.66752125243343,0.0401835175830424,4.01835175830424,-2.79544931710088,17.2398326089073,11,34,13,7,86,42,FALSE
"SNP18",5.68511618549005e-06,7.95665415170206e-06,8.05633784921896e-05,0.022768614930853,0.929011423917522,92.9011423917522,4.56011395705298,14.8418390796638,94,82,95,96,13,75,FALSE
"SNP19",0.000230109000799529,0.000983699956514531,4.72360651564006e-09,0.823157002822713,0.321773595425489,32.1773595425489,-3.98744311556149,12.6279239137099,38,99,68,35,96,95,FALSE
"SNP20",4.95783219182344e-09,0.00019218077672988,0.000266041866231755,0.464353189889617,0.661489930938751,66.1489930938751,1.22461979701954,20.2109368726264,76,69,100,49,38,18,FALSE
"SNP21",6.85809458775565e-05,0.000333304296170223,1.5979200843082e-05,1.47654833942787,0.564175166221986,56.4175166221986,-1.56599981077427,18.9479346973915,68,90,80,17,70,25,FALSE
"SNP22",0.000652465965330241,0.000130864282050101,0.0024207732305691,0.784231169645796,0.717866928311062,71.7866928311062,-0.515756227359842,16.3096577169154,81,20,46,38,58,55,FALSE
"SNP23",0.00203518658442133,0.00263110976811447,0.00244340890536665,0.912481903929995,0.104994462072844,10.4994462072844,-0.207561449948022,18.1316033447235,20,19,18,31,51,34,FALSE
"SNP24",3.56369137227276e-06,1.57867027152443e-07,9.53333967718554e-06,0.402439804284595,0.989987768669421,98.9987768669421,-4.92201337564479,17.9883885489649,99,91,98,56,99,36,FALSE
"SNP25",0.000732208193730859,0.000659120706756135,0.00110013629836068,0.212423888403839,0.417376725180694,41.7376725180694,-2.84010963687073,18.3007080014616,49,44,40,73,87,32,FALSE
"SNP26",0.000675488999483791,0.000957036583667779,0.000785274298642972,1.08368451021338,0.328424206503328,32.8424206503328,2.84508596793623,15.4331620938254,40,50,44,26,20,68,FALSE
"SNP27",0.000721615262076481,0.000385370399814561,0.00189076684416901,1.15531218204886,0.53521472173688,53.521472173688,0.445521960943624,16.564911714689,65,26,41,22,42,51,FALSE
"SNP28",0.000424718411040302,0.000724587797277956,0.00036889267405447,0.17098530499359,0.395149055815493,39.5149055815493,2.38602777371766,18.8159852582512,47,63,55,77,23,26,FALSE
"SNP29",0.000217639029263908,0.00084205893459667,1.28642881294079e-07,0.483005162400801,0.359308764335334,35.9308764335334,-3.98219761738638,16.353874135823,43,97,69,48,95,54,FALSE
"SNP30",0.000897509790351689,0.000832560969744413,0.00149112478149249,0.404481706832067,0.362033905313668,36.2033905313668,-0.412248990066569,13.2243174077936,44,33,38,55,55,91,FALSE
"SNP31",5.44452364695781e-05,4.208727905349e-05,0.000617091650039111,0.271687680390326,0.837652276792379,83.7652276792379,1.66538871982559,22.2075064053674,87,54,84,66,30,12,FALSE
"SNP32",0.00205560370958167,0.00382397620681816,0.00134708961062613,0.877369109010397,0.0505920027815617,5.05920027815617,2.63768852993643,18.7931160679222,12,36,17,33,22,27,FALSE
"SNP33",0.000103120177151461,1.78840158293952e-05,0.000400544961062326,0.406288790230654,0.893746981460907,89.3746981460907,2.18590146847624,16.7862217639688,91,62,77,54,25,49,FALSE
"SNP34",0.000634521795635155,0.0005017022118968,0.00122050259386009,1.08346212984765,0.479248191463227,47.9248191463227,-4.25330231851928,15.4762079427562,57,39,47,27,97,64,FALSE
"SNP35",0.000985447887344372,0.00149456270116621,0.000962854044894268,0.597221736544918,0.221915430158915,22.1915430158915,-0.894002307496563,11.5125405211211,27,47,35,40,59,97,FALSE
